teks,kategori
Min tlong Sungai/kali daerah Paseh meluap k jalan tiap ujan lebat sampe anak sekolah ga bisa lewat,Sampah/Banjir
Jalan Kutawaringin ancur abis dilewatin truk pengangkut material,Jalan Rusak
Jalan komplek perumahan berlubang di banyak titik menyusahkan warga,Jalan Rusak
"Jalan desa di Cicalengka aspal hotmix nya ngelotok, udh brp kali ada korban kecelakaan, mohon pak bupati gercep benerin",Jalan Rusak
"Parah bgt Pencurian rumah kosong sekitar Dayeuhkolot neror anak-anak sekolah pas pulang, warga takut keluar rumah malem hari tolong segera ditindak",Keamanan/Ketertiban
Min tlg Bantuan santunan lansia daerah Ujungberung saldo di kartu e-warong kosong melompong sampe warga ngeluh ga ada transparansi,Bansos
"tolong armada truk sampah segera dateng, Got depan rumah warga d Kutawaringin udah meluap ke jalan tiap ujan lebat bikin akses jalan lumpuh total ga bsa lewat muntor",Sampah/Banjir
"Jalan alternatif di Pameungpeuk rusak berat gak dibenerin, shockbreaker mtr jebol, minta tolong segera di hotmix",Jalan Rusak
"Kartu Keluarga Sejahtera (KKS) di Arjasari aplikasi pendaftaran bansos error dan gbs login, warga sakit ga bisa berobat krn KIS dinonaktifkan, kemensos tlg perbaiki sistem data DTKS",Bansos
Got tersumbat bikin bau busuk nyebar ke rumah2 warga sekitar,Sampah/Banjir
"Parah banget Kartu Keluarga Sejahtera (KKS) sekitar Kutawaringin ada pemotongan dana sepihak oleh oknum RT/RW, anak yatim ga bisa beli perlengkapan sekolah tlg segera ditindak",Bansos
"Warga Ciwidey ngeluh Kartu Keluarga Sejahtera (KKS) keluarga dan timses kades diprioritaskan, dampaknya uang bantuan berkurang banyak kepotong pungli, tolong usut tuntas pungli bantuan sosial ini",Bansos
"kemensos tolong perbaiki sistem data DTKS, Bantuan modal UMKM di Cileunyi udah aplikasi pendaftaran bansos error dan gbs login bikin warga ngeluh ga ada transparansi",Bansos
"Genangan cileuncang di Ibun airnya item pekat dan berbau busuk, warga terpaksa ngungsi k mushola, tolong armada truk sampah segera dateng",Sampah/Banjir
Selokan penuh sampah plastik bikin air ga lancar tiap ujan,Sampah/Banjir
"Jalan raya di Solokan Jeruk retak-retak parah, warga was2 tiap lewat apalagi pas ujan, tlong pak lurah perhatikan jalan kami",Jalan Rusak
"Jln protokol di Rancamanyar banyak jeglongan sewu, shockbreaker motor jebol, tlg pak lurah perhatikan jalan kami",Jalan Rusak
"Jalan komplek d Rancamanyar bergelombang bikin oleng, bikin velg motor peang dan ban bocor, minta tolong segera d hotmix",Jalan Rusak
"Warga Ciparay ngeluh Jalur tanjakan bergelombang bikin oleng, dampaknya angkot ga mau lewat situ lg, kapan mau ditambal min?",Jalan Rusak
"tlong dinas sosial audit ulang data penerima, Bantuan modal UMKM d Pasirjambu udah proses birokrasinya dipersulit petugas kelurahan bikin warga ngeluh ga ada transparansi",Bansos
"Warga Rancamanyar ngeluh Jalan poros banyak jeglongan sewu, dampaknya bikin velg muntor peang dan ban bocor, mohon pak bupati gercep benerin",Jalan Rusak
Min tlong Saluran air induk daerah Cimenyan ga surut-surut udah 3 hari sampe barang elektronik pada rusak kerendem,Sampah/Banjir
Min tolong Gorong-gorong daerah Tegalluar tanggulnya rembes dan bocor sampe anak sekolah ga bs lewat,Sampah/Banjir
"Warga Margahayu ngeluh Gorong-gorong menggunung udah berminggu-minggu ga diangkut, dampaknya banyak nyamuk DBD, dinas kebersihan tolong angkut sampahnya",Sampah/Banjir
"mohon dinas lingkungan hidup turun tangan, Sungai/kali di Sapan udah ga surut-surut udah 3 hari bikin akses jalan lumpuh total ga bs lewat motor",Sampah/Banjir
Min tolong Jembatan kecil daerah Soreang penuh kubangan air sampe bikin motor sering jatoh tiap malem,Jalan Rusak
Min tolong Bantuan modal UMKM daerah Kutawaringin salah sasaran yg mampu dan bermobil malah dapet sampe warga miskin beneran cuma bisa gigit jari,Bansos
Min tlong Jalur tanjakan daerah Pameungpeuk ancur lebur sampe bikin velg mtr peang dan ban bocor,Jalan Rusak
"Jalan komplek di Solokan Jeruk rusak berat gak dibenerin, shockbreaker muntor jebol, pliss segera di tindaklanjuti pa",Jalan Rusak
Min plis Kali dekat pasar daerah Kopo menggunung udah berminggu-minggu ga diangkut sampe bau busuk kecium sampe radius 300 meter,Sampah/Banjir
"Parah banget Trotoar sekitar Kopo rusak parah abis dilewatin truk, angkot ga mau lewat situ lg tolong segera ditindak",Jalan Rusak
"Lapor pak, Jalur tanjakan Cangkuang rusak kena kikis air comberan bikin velg muntor peang dan ban bocor. kapan mau ditambal min?",Jalan Rusak
Bantuan alat bantu untuk difabel belum pernah direalisasikan sampai sekarang,Bansos
"Lapor pak, Pencurian rumah kosong Majalaya maksa minta uang keamanan k pedagang kecil anak balita kaget nangis kebangun. plis tertibkan balap liar pak polisi",Keamanan/Ketertiban
"tolong usut tuntas pungli bantuan sosial ini, Bantuan bedah rumah rutilahu d Rancaekek udah udah 3 bulan belum cair tanpa penjelasan bikin uang bantuan berkurang banyak kepotong pungli",Bansos
"Warga Tegalluar ngeluh Jembatan kecil aspalnya udah ngelupas abis, dampaknya angkot ga mau lewat situ lg, tlong secepatnya d perbaiki min",Jalan Rusak
Min tolong Geng motor ugal-ugalan daerah Cilengkrang nyolong barang warga secara beruntun sampe warg jadi was-was dan ga tenang,Keamanan/Ketertiban
"plis pak lurah perhatikan jalan kami, Paving block jalan di Pasehh udah rusak berat gak dibenerin bikin bikin velg motor peang dan ban bocor",Jalan Rusak
Min tolong Tempat penampungan sampah daerah Tegalluar bikin bau comberan masuk k kamar sampe bikin lingkungan kumuh dan bau menyengat,Sampah/Banjir
"Parah bgt Bantuan Langsung Tunai (BLT) sekitar Majalaya kualitas beras berkutu, apek dan hancur, warga ngeluh ga ada transparansi tolong segera ditindak",Bansos
"Lapor pak, Kartu Sembako Murah Cimenyan salah sasaran yg mampu dan bermobil malah dapet lansia kurang mampu kesulitan beli beras. plis verifikasi lapangan langsung ke rumah warga",Bansos
"Parah bngt Jalan utama sekitar Bojongmalaka bolong dalem bngt, bikin debu tebell kalo panas tolong segera ditindak",Jalan Rusak
"Parah bgt Bantuan modal UMKM sekitar Ciwidey ada pemotongan dana sepihak oleh oknum RT/RW, warga miskin beneran cuma bisa gigit jari tolong segera ditindak",Bansos
"Pos kamling udah lama ga difungsikan, warga jadi was-was",Keamanan/Ketertiban
"butuh perahu karet buat evakuasi warga, Saluran air induk di Cibiru udah mampet total gara-gara plastik dan sampah bikin anak sekolah ga bisa lewat",Sampah/Banjir
Min tolong Genangan cileuncang daerah Pangalengan merendam rumah warga setinggi paha sampe bikin warga gatal-gatal dan batuk,Sampah/Banjir
"Parah banget Paving block jalan sekitar Pameungpeuk ancur lebur, pemotor sering kaget ngerem mendadak tlg segera ditindak",Jalan Rusak
"Lapor pak, Tempat penampungan sampah Bojongsoang ga surut-surut udah 3 hari akses jalan lumpuh total ga bsa lewat mtr. tlong buatin tanggul darurat pa kades",Sampah/Banjir
"Parah bgt Penyaluran beras bansos sekitar Cibaduyut keluarga dan timses kades diprioritaskan, anak yatim ga bsa beli perlengkapan sekolah tlg segera ditindak",Bansos
"Warga Pasirjambu ngeluh Pungutan liar oknum maksa minta uang keamanan ke pedagang kecil, dampaknya anak balita kaget nangis kebangun, plis pos kamling diaktifkan lagi",Keamanan/Ketertiban
"dinas kebersihan tlg angkut sampahnya, Got depan rumah warga di Cangkuang udah bikin bau comberan masuk k kamar bikin bikin lingkungan kumuh dan bau menyengat",Sampah/Banjir
Saya sudah daftar bansos dari lama tapi belum ada kabar sampai sekarang,Bansos
Min tolong Jalan gang daerah Sapan bolong dalem banget sampe bikin velg motor peang dan ban bocor,Jalan Rusak
"tolong pak lurah perhatikan jalan kami, Jalan raya d Cibiru udah licin dan banyak kerikil tajam bikin shockbreaker mtr jebol",Jalan Rusak
"tolong pak camat segera tinjau lokasi, Air selokan d Katapang udah meluap ke jalan tiap ujan lebat bikin bikin lingkungan kumuh dan bau menyengat",Sampah/Banjir
Min tolong Jembatan kecil daerah Bojongmalaka amblas separuh badan sampe udh brp kali ada korban kecelakaan,Jalan Rusak
"tolong polres dan polsek rutin patroli malam, Judi online slot di Solokan Jeruk udah nyolong barang warga secara beruntun bikin lingkungan jadi rawan kriminal",Keamanan/Ketertiban
"Parah banget Tikungan jalan sekitar Baleendah ancur lebur, pemotor sering kaget ngerem mendadak plis segera ditindak",Jalan Rusak
Min plis Aksi tawuran remaja daerah Cikoneng beraksi pas subuh warga lagi sholat sampe banyak kehilangan motor dlm sepekan,Keamanan/Ketertiban
"Warga Rancaekek ngeluh Sound horeg hajatan berkeliaran bawa senjata tajam / cerulit, dampaknya korban mengalami luka sabetan sajam, tolong pos kamling diaktifkan lagi",Keamanan/Ketertiban
Min tlg Bantuan modal UMKM daerah Soreang saldo di kartu e-warong kosong melompong sampe warga sakit ga bisa berobat krn KIS dinonaktifkan,Bansos
Bantuan beras belum sampai ke warga meski sudah dijanjikan,Bansos
"Lapor pak, Bantuan Langsung Tunai (BLT) Rancamanyar aplikasi pendaftaran bansos error dan gbs login lansia kurang mampu kesulitan beli beras. tolong bantu proses pencairan kartu saya min",Bansos
Bantuan gizi untuk balita stunting belum disalurkan ke posyandu kami,Bansos
"Lapor pak, Sampah rmh tangga Cileunyi merendam rmh warga setinggi paha akses jalan lumpuh total ga bsa lewat motor. tlg armada truk sampah segera dateng",Sampah/Banjir
"Warga Soreang ngeluh Pelecehan / catcalling berkeliaran bawa senjata tajam / cerulit, dampaknya warga takut keluar rumah malem hari, min tlong sampaikan ke babinsa/bhabinkamtibmas",Keamanan/Ketertiban
"Jalan desa d Bojongmalaka rusak parah abis dilewatin truk, angkot ga mau lewat situ lg, min tlong sampaikan ke dinas terkait",Jalan Rusak
"tolong usut tuntas pungli bantuan sosial ini, Penyaluran beras bansos di Katapang udah salah sasaran yg mampu dan bermobil malah dapet bikin anak yatim ga bsa beli perlengkapan sekolah",Bansos
Ada oknum yang suka mabuk dan bikin onar di warung kopi,Keamanan/Ketertiban
"Parah banget Bantuan modal UMKM sekitar Bojongsoang keluarga dan timses kades diprioritaskan, anak yatim ga bisa beli perlengkapan sekolah plis segera ditindak",Bansos
"Jalan utama di Cimenyan penuh kubangan air, bikin debu tebel kalo panas, minta plis segera di hotmix",Jalan Rusak
Min plis Jalan raya daerah Manggahang penuh kubangan air sampe bikin macet parah tiap pagi,Jalan Rusak
"Warga Majalaya ngeluh Maling jemuran dan gas lpg bikin suara bising ga bisa tidur tiap malam, dampaknya pengendara motor cewek takut lewat situ, tangkap dan tindak oknum preman meresahkan",Keamanan/Ketertiban
Min tolong Jalur tanjakan daerah Gedebage licin dan banyak kerikil tajam sampe shockbreaker muntor jebol,Jalan Rusak
"Sampah rmh tangga di Margahayu meluap ke jalan tiap ujan lebat, bau busuk kecium sampe radius 300 meter, tlong buatin tanggull darurat pa kades",Sampah/Banjir
BLT ga kunjung cair udah 2 bulan lebih dari jadwal yang dijanjikan,Bansos
"Parah banget Penyaluran beras bansos sekitar Baleendah saldo d kartu e-warong kosong melompong, warga miskin beneran cuma bs gigit jari tolong segera ditindak",Bansos
"Lapor pak, Bansos PKH dan BPNT Dayeuhkolot salah sasaran yg mampu dan bermobil malah dapet warga miskin beneran cuma bisa gigit jari. mohon kades/lurah tindak tegas oknum yg motong",Bansos
"Sampah di TPS di Ciparay bikin bau comberan masuk k kamar, bikin warga gatal-gatal dan batuk, butuh perahu karet buat evakuasi warga",Sampah/Banjir
"Min tolong Bansos PKH dan BPNT daerah Cicalengka kualitas beras berkutu, apek dan hancur sampe anak yatim ga bs beli perlengkapan sekolah",Bansos
Sampah menumpuk di jembatan kecil bikin air ga bisa lewat lancar,Sampah/Banjir
"Warga Dayeuhkolot ngeluh Jembatan kecil berlubang parah, dampaknya shockbreaker muntor jebol, jangan nunggu ada korban jiwa baru dibenerin",Jalan Rusak
"Parah banget Aksi curanmor sekitar Gedebage nongkrong d pos ronda sambil nenggak ciu, banyak kehilangan mtr dlm sepekan tolong segera ditindak",Keamanan/Ketertiban
"Satpam komplek sering ga ada di pos, keamanan jadi longgar",Keamanan/Ketertiban
"Lapor pak, Jalan gang Manggahang aspalnya udah ngelupas abis bikin motor sering jatoh tiap malem. tolong dinas pupr segera aspal ulang",Jalan Rusak
Min tolong Kartu Sembako Murah daerah Ciwidey salah sasaran yg mampu dan bermobil malah dapet sampe uang bantuan berkurang banyak kepotong pungli,Bansos
Sampah rumah tangga menumpuk berhari-hari ga diangkut petugas,Sampah/Banjir
"Warga Pasirjambu ngeluh Tikungan jalan rusak berat gak dibenerin, dampaknya bahaya bgt buat anak2 sekolah, tolong pak lurah perhatikan jalan kami",Jalan Rusak
"Warga Sapan ngeluh Bansos PKH dan BPNT nama dicoret tiba-tiba padahal miskin, dampaknya warga ngeluh ga ada transparansi, mohon kades/lurah tindak tegas oknum yg motong",Bansos
Anak muda sering nongkrong sambil minum keras di dekat masjid,Keamanan/Ketertiban
Kejadian pelecehan di angkot bikin warga perempuan takut naik sendirian,Keamanan/Ketertiban
"Parah banget Sampah rmh tangga sekitar Bojongsoang tanggulnya rembes dan bocor, bikin lingkungan kumuh dan bau menyengat plis segera ditindak",Sampah/Banjir
"Parah bngt Sampah di TPS sekitar Bojongmalaka lumpur sedimennya udah tebel bgt, akses jalan lumpuh total ga bisa lewat motor tolong segera ditindak",Sampah/Banjir
Saldo kartu sembako saya kosong padahal harusnya sudah terisi,Bansos
"Parah banget Pencairan dana bansos d kantor pos/bank sekitar Solokan Jeruk kualitas beras berkutu, apek dan hancur, anak yatim ga bisa beli perlengkapan sekolah tlg segera ditindak",Bansos
Rumah kosong sering dijadikan tempat mabuk-mabukan anak muda,Keamanan/Ketertiban
Min plis Gorong-gorong daerah Nagreg tanggulnya rembes dan bocor sampe anak sekolah ga bisa lewat,Sampah/Banjir
Keributan warga gara-gara sound system pesta yang kelewat kencang,Keamanan/Ketertiban
"Warga Banjaran ngeluh Pelecehan / catcalling berkeliaran bawa senjata tajam / cerulit, dampaknya korban mengalami luka sabetan sajam, min tlong sampaikan ke babinsa/bhabinkamtibmas",Keamanan/Ketertiban
"Parah bgt Tempa penampungan sampah sekitar Kutawaringin meluap ke jalan tiap ujan lebat, mtr mogok massal pas nekat nerobos tolong segera ditindak",Sampah/Banjir
"Lapor pak, Maling jemuran dan gas lpg Dayeuhkolot beraksi pas subuh warga lagi sholat warga jadi was-was dan ga tenang. mohon pasang lampu jalan dan cctv di titik rawan",Keamanan/Ketertiban
"Parah banget Geng motor ugal-ugalan sekitar Majalaya nyolong barang warga secara beruntun, warga jadi was-was dan ga tenang tolong segera ditindak",Keamanan/Ketertiban
"Tempat penampungan sampah di Pangalengan mampet total gara-gara plastik dan sampah, bau busuk kecium sampe radius 300 meter, tolong buatin tanggul darurat pa kades",Sampah/Banjir
"tolong armada truk sampah segera dateng, Sampah rumah tangga di Ciganitri udah baunya nusuk hidung bikin enek bikin akses jalan lumpuh total ga bs lewat muntor",Sampah/Banjir
"Lapor pak, Pencairan dana bansos d kantor pos/bank Sukamenak saldo d kartu e-warong kosong melompong uang bantuan berkurang banyak kepotong pungli. tolong usut tuntas pungli bantuan sosial ini",Bansos
Sampah dibuang sembarangan ke sungai bikin air tersumbat,Sampah/Banjir
"tolong polres dan polsek rutin patroli malam, Aksi curanmor di Arjasari udah sering lempar batu dan botol kaca bikin korban mengalami luka sabetan sajam",Keamanan/Ketertiban
"Warga Arjasari ngeluh Paving block jalan ancur lebur, dampaknya shockbreaker muntor jebol, pliss segera di tindaklanjuti pa",Jalan Rusak
Bantuan sosial untuk lansia terlantar belum pernah sampai ke kami,Bansos
Min tolong Air selokan daerah Kutawaringin bikin bau comberann masuk k kamar sampe motor mogok massal pas nekat nerobos,Sampah/Banjir
"Drainase kota udah lama ga dikeruk, makanya gampang banjir",Sampah/Banjir
"Jalan komplek di Bojongsoang aspalnya udah ngelupas abis, bikin macet parah tiap pagi, tlong dinas pupr segera aspal ulangg",Jalan Rusak
"Pencairan dana bansos di kantor pos/bank di Bojongmalaka nama dicoret tiba-tiba padahal miskin, lansia kurang mampu kesulitan beli beras, mohon kades/lurah tindak tegas oknum yg motong",Bansos
"Banjir parah di Andir tiap musim hujan, air sampe selutut",Sampah/Banjir
"Parah banget Kartu Indonesia Sehat (KIS PBI) sekitar Cangkuang aplikasi pendaftaran bansos error dan gbs login, uang bantuan berkurang banyak kepotong pungli plis segera ditindak",Bansos
Bantuan rumah tidak layak huni yang dijanjikan belum ada realisasi,Bansos
"Parah banget Pencairan dana bansos d kantor pos/bank sekitar Manggahang keluarga dan timses kades diprioritaskan, anak yatim ga bisa beli perlengkapan sekolah tolong segera ditindak",Bansos
Min tolong Jalan desa daerah Manggahang banyak jeglongan sewu sampe bahaya bgt buat anak2 sekolah,Jalan Rusak
"Jalan komplek d Bojongmalaka berlubang parah, bikin velg mtr peang dan ban bocor, mohon pak bupati gercep benerin",Jalan Rusak
"Warga Pameungpeuk ngeluh Warung miras ilegal neror anak-anak sekolah pas pulang, dampaknya pengendara motor cewek takut lewat situ, mohon pasang lampu jalan dan cctv d titik rawan",Keamanan/Ketertiban
"Parah bgt Tikungan jalan sekitar Cibaduyut aspal hotmix nya ngelotok, bikin debu tebel kalo panas tlg segera ditindak",Jalan Rusak
"Parah banget Sound horeg hajatan sekitar Rancaekek berkeliaran bawa senjata tajam / cerulit, pengendara motor cewek takut lewat situ tlong segera ditindak",Keamanan/Ketertiban
"Lapor pak, Geng muntor ugal-ugalan Cimenyan beraksi pas subuh warga lagi sholat anak balita kaget nangis kebangun. mohon pasang lampu jalan dan cctv di titik rawan",Keamanan/Ketertiban
Jalan raya utama sering banjir + berlubang jadi double masalah,Jalan Rusak
"Pencurian rmh kosong di Cilengkrang maksa minta uang keamanan k pedagang kecil, pengendara motor cewek takut lewat situ, tolongg pos kamling diaktifkan lagi",Keamanan/Ketertiban
"Lapor pak, Kartu Sembako Murah Pasirjambuu kualitas beras berkutu, apek dan hancur uang bantuan berkurang banyak kepotong pungli. tlong bantu proses pencairan kartu sy min",Bansos
"Sampah plastik menyumbat saluran air, minta segera dibersihkan",Sampah/Banjir
Min plis Akses jalan masuk daerah Majalaya banyak jeglongan sewu sampe mobil ceper sering mentok,Jalan Rusak
"Parah banget Jalan dekat pasar sekitar Margahayu bergelombang bikin oleng, warga was2 tiap lewat apalagi pas ujan tolong segera ditindak",Jalan Rusak
"Tumpukan sampah liar di Soreang meluap ke jalan tiap ujan lebat, bikin lingkungan kumuh dan bau menyengat, dinas kebersihan tolong angkut sampahnya",Sampah/Banjir
"Lapor pak, Akses jalan masuk Cileunyi rusak berat gak dibenerin warga was2 tiap lewat apalagi pas ujan. min tolong sampaikan k dinas terkait",Jalan Rusak
Min tolong Bantuan modal UMKM daerah Cibaduyut aplikasi pendaftaran bansos error dan gbs login sampe warga sakit ga bisa berobatt krn KIS dinonaktifkan,Bansos
"Warga Cibaduyut ngeluh Jalan raya aspalnya udah ngelupas abis, dampaknya warga was2 tiap lewat apalagi pas ujan, tlong dinas pupr segera aspal ulang",Jalan Rusak
Min tlong Maling jemuran dan gas lpg daerah Soreang neror anak-anak sekolah pas pulang sampe banyak kehilangan mtr dlm sepekan,Keamanan/Ketertiban
"Lapor pak, Geng muntor ugal-ugalan Cibaduyut makin marak dan meresahkan warga banyak kehilangan muntor dlm sepekan. tolong tertibkan balap liar pak polisi",Keamanan/Ketertiban
"Parah banget Aksi begal bersenjata sekitar Pameungpeuk neror anak-anak sekolah pas pulang, pedagang kecil rugi diperas terus tolong segera ditindak",Keamanan/Ketertiban
"Parah banget Jembatan kecil sekitar Cileunyi aspalnya udah ngelupas abis, angkot ga mau lewat situ lg plis segera ditindak",Jalan Rusak
"Warga Soreang ngeluh Bantuan Langsung Tunai (BLT) nama dicoret tiba-tiba padahal miskin, dampaknya uang bantuan berkurang banyak kepotong pungli, tolong dinas sosial audit ulang data penerima",Bansos
Min tlg Tikungan jalan daerah Banjaran rusak berat gak dibenerin sampe shockbreaker mtr jebo,Jalan Rusak
"Min plis Bantuan Langsung Tunai (BLT) daerah Gedebage kualitas beras berkutu, apek dan hancur sampe warga miskin beneran cuma bisa gigit jari",Bansos
"Pintu air di Majalaya mampet totall gara-gara plastik dan sampah, bikin lingkungan kumuh dan bau menyengat, butuh perahu karet buat evakuasi warga",Sampah/Banjir
"Parah banget Pungutan liar oknum sekitar Bojongmalaka maksa minta uang keamanan k pedagang kecil, warga takut keluar rumah malem hari tolong segera ditindak",Keamanan/Ketertiban
